created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 14 05:55:40 +0000 2023;1724305072971223475;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1623157914516226049;1724305029350457482;SherynaTantri;https://twitter.com/SherynaTantri/status/1724305072971223475
Tue Nov 14 05:24:53 +0000 2023;1724297329552093420;"Hanya Ganjar yang Berani Tolak Israel Saat Piala Dunia U 20   #GanjarMahfud2024 https://t.co/uOTmExpNGF";0;0;1;1;in;973967098677530624;1724297329552093420;facu_massironi;https://twitter.com/facu_massironi/status/1724297329552093420
Tue Nov 14 04:50:32 +0000 2023;1724288681794797901;"Hanya ganjar Capres yang nerani tolal israel saat piala dunia U-20  #GanjarMahfudPilihanRakyat  #GanjarMahfudTanpaDrama  #GanjarMahmud2024 https://t.co/6qPusEYMja";0;0;0;0;in;1357054286060953600;1724288681794797901;PrawijayaRenata;https://twitter.com/PrawijayaRenata/status/1724288681794797901
Tue Nov 14 04:24:01 +0000 2023;1724282008892023205;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;4482720013;1724281961814892706;Mylincolnss;https://twitter.com/Mylincolnss/status/1724282008892023205
Tue Nov 14 04:07:05 +0000 2023;1724277748946903341;"Presidium Ganjar Mahfud mengungkapkan hanya Ganjar pranowo saja capres yang konsisten mendukung Palestina dengan menolak Israel salah satunya lewat piala dunia u-20 https://t.co/JJ96Wqvbf3";0;0;0;0;in;1686155814225002497;1724277748946903341;KatrinaPutt;https://twitter.com/KatrinaPutt/status/1724277748946903341
Tue Nov 14 04:06:44 +0000 2023;1724277662066336165;"Soroti aksi bela Palestina, relawan: hanya Ganjar pranowo capres yang berani tolak Israel saat piala dunia u-20 https://t.co/KLKQnmNFsV";0;0;0;0;in;1686155814225002497;1724277662066336165;KatrinaPutt;https://twitter.com/KatrinaPutt/status/1724277662066336165
Tue Nov 14 04:06:24 +0000 2023;1724277575940456894;"Kata Ganjar nanti akan terbuka semua apa alasan Ganjar pranowo menolak kehadiran Israel di piala dunia u-20 kebenaran akan mencari jalannya sendiri https://t.co/VEVUR9SiPP";0;0;0;0;in;1686155814225002497;1724277575940456894;KatrinaPutt;https://twitter.com/KatrinaPutt/status/1724277575940456894
Tue Nov 14 04:02:41 +0000 2023;1724276641776746718;"HANYA GANJAR PRANOWO   CAPRES YANG BERANI TOLAK ISRAEL SAAT PIALA DUNIA U-20";0;0;0;0;in;1579858232621010945;1724275144536006719;OrinaTengo;https://twitter.com/OrinaTengo/status/1724276641776746718
Tue Nov 14 03:57:59 +0000 2023;1724275457347260741;"HANYA GANJAR PRANOWO   CAPRES YANG BERANI TOLAK ISRAEL SAAT PIALA DUNIA U-20 https://t.co/ZWl6KMlOuP";0;1;0;0;in;1579833365611810816;1724275457347260741;NiaraSyahnia;https://twitter.com/NiaraSyahnia/status/1724275457347260741
Tue Nov 14 03:56:44 +0000 2023;1724275144536006719;"HANYA GANJAR PRANOWO   CAPRES YANG BERANI TOLAK ISRAEL SAAT PIALA DUNIA U-20 https://t.co/cjthZi5UU0";0;1;0;0;in;1579858232621010945;1724275144536006719;OrinaTengo;https://twitter.com/OrinaTengo/status/1724275144536006719
